,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,sardexcel.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
1,centralvalleybuilder.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
2,fltsystems.com.ng,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
3,roroororor.skyleague2018.net,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
4,mutuelle-unc.fr,0,0,1,6,0,0,0,1,0,1,0,0,0,0,1,0,0
5,netherlands-icscards2016.it,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1,0
6,malegaoncity.com,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,0
7,textil-grosshandel.eu,0,0,0,3,0,0,0,1,0,0,1,1,0,0,1,1,0
8,ip-addr.es,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
9,impress-studio.com.pl,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0
10,romblonwaterdistrict.gov.ph,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
11,196.202.103.174,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
12,ugalleryfurniture.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
13,ainab.photographyquincemiami.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
14,amerikanservisi.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
15,instromenmendous.casolagreenhouse.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
16,sites.google.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
17,ughkkrwue2.jawutozasoxppa.net,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
18,dangras.net,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
19,pstimes.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
20,equipamentosac.com.br,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,1,0
21,becleantoday.com,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
22,ksrsurvey.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0
23,laser-services.fr,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,1,0
24,cancerawakens.com,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0
25,xjbctcky.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
26,rejoincomp2.in,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
27,vfwuc.eu.org,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,0
28,gabia-frontend-dev.com,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,1,0
29,ankarasoveyapi.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
30,ec2-54-169-95-13.ap-southeast-1.compute.amazonaws.com,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0
31,webdesignexpertbd.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
32,drogatati.com.br,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
33,raftchurch.org.au,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
34,itshelpdesknotice.tripod.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
35,dcareug.com,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
36,ia601500.us.archive.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
37,muabanonline24.net,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
38,vzzekdzpvwoosbv0d.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
39,truongmamnon293.vn,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
40,pichinchace.webcindario.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
41,kathycannon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
42,redecamponesa.com.br,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
43,cluj-case.ro,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0
44,slim.comze.com,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0
45,mxp2106.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
46,surfandearned.top,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,1,0
47,rooterla.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
48,mahindrainsurance.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
49,bnkp-bdg.com,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
50,hanahouse.info,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
51,disfrutafresca.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
52,cheapdrivinglessons.com.au,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
53,choconutsworld.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
54,laybycafe.co.za,0,0,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0
55,markosia.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
56,mummyschildcare.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
57,k-poulsen.dk,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0
58,coloradomanagement-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0,0
59,loisricher.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
60,carpland.fr,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
61,czonainsit4e.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
62,windowstoararat.com,0,0,1,4,0,0,1,0,1,1,1,1,1,1,1,1,0
63,hajoje.ga,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
64,zaxopoulos.eu,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
65,ashleycarecenter.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
66,ministerio-publi.info,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0
67,eduspec.co.id,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
68,club-liner.de,0,0,1,4,0,0,0,1,0,1,1,1,0,0,1,0,0
69,atousauniversal.com,0,1,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
70,prtests.ru,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
71,plasticosterrones.com.mx,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
72,hedtfohecdo.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
73,fywuw8ar.myutilitydomain.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
74,trustedupdates.net,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
75,gurpuritv.com,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,0
76,lmiybsb.click,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
77,ordnancerta.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
78,realcaucel.com.mx,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,0
79,0babyungebrochene.within-reach-therapy.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,0
80,larah.in,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
81,kt23fkxnyo.uryetbn.in,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
82,masssucess.favcc1.com,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
83,spur.su,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,0
84,neimucher.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
85,bbt.adv.br,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
86,netorgft3310644.sharepoint.com,0,0,1,5,0,0,1,0,0,1,1,1,0,0,1,0,0
87,t-n-d.in,0,0,0,2,0,0,0,1,0,1,1,1,1,1,1,1,0
88,ceciliamartinez.com.mx,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
89,ramuism.com,0,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0
90,ghsahq-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0,0
91,toptantriko.net,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1,0
92,petit-poulet.de,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,1,0
93,schrickerapts.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
94,motorati.co.nz,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
95,fabricadeconcluidores.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
96,samdbnrmboard.createsend.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
97,dlbjpwt.goog-upp.pw,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
98,ptkkp.co.id,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
99,cafsci.org,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
